15.8,20.5399
15.85,20.5936
15.9,20.6472
15.95,20.7009
16,20.7545
16.05,20.8081
16.1,20.8618
16.15,20.9154
16.2,20.9691
16.25,21.0227
16.3,21.0268
16.35,21.0308
16.4,21.0349
16.45,21.0389
16.5,21.043
16.55,21.047
16.6,21.0511
16.65,21.0551
16.7,21.0592
16.75,21.0633
16.8,21.0673
16.85,21.0714
16.9,21.0615
16.95,21.0376
17,21.0137
17.05,20.9898
17.1,20.9659
17.15,20.9421
17.2,20.9182
17.25,20.8943
17.3,20.8704
17.35,20.8465
17.4,20.8227
17.45,20.7988
17.5,20.7749
17.55,20.71
17.6,20.6451
17.65,20.5802
17.7,20.5153
17.75,20.4503
17.8,20.3854
17.85,20.3205
17.9,20.2556
17.95,20.1907
18,20.1258
18.05,20.0609
18.1,19.9959
18.15,19.9225
18.2,19.8405
18.25,19.7586
18.3,19.6766
18.35,19.5946
18.4,19.5127
18.45,19.4307
18.5,19.3487
18.55,19.2668
18.6,19.1848
18.65,19.1028
18.7,19.0209
18.75,18.9389
18.8,18.8434
18.85,18.7478
18.9,18.6523
18.95,18.5568
19,18.4612
19.05,18.3657
19.1,18.2702
19.15,18.1746
19.2,18.0791
19.25,17.9836
19.3,17.888
19.35,17.7925
19.4,17.6983
19.45,17.6054
19.5,17.5125
19.55,17.4196
19.6,17.3268
19.65,17.2339
19.7,17.141
19.75,17.0481
19.8,16.9552
19.85,16.8624
19.9,16.7695
19.95,16.6766
20,16.5837
20.05,16.5142
20.1,16.4447
20.15,16.3752
20.2,16.3057
20.25,16.2362
20.3,16.1667
20.35,16.0973
20.4,16.0278
20.45,15.9583
20.5,15.8888
20.55,15.8193
20.6,15.7498
20.65,15.6922
20.7,15.6465
20.75,15.6008
20.8,15.5551
20.85,15.5095
20.9,15.4638
20.95,15.4181
21,15.3724
21.05,15.3267
21.1,15.281
21.15,15.2353
21.2,15.1896
21.25,15.1439
21.3,15.1534
21.35,15.1629
21.4,15.1724
21.45,15.1818
21.5,15.1913
21.55,15.2008
21.6,15.2103
21.65,15.2197
21.7,15.2292
21.75,15.2387
21.8,15.2482
21.85,15.2576
21.9,15.2859
21.95,15.3329
22,15.38
22.05,15.427
22.1,15.4741
22.15,15.5211
22.2,15.5681
22.25,15.6152
22.3,15.6622
22.35,15.7093
22.4,15.7563
22.45,15.8033
22.5,15.8504
22.55,15.9651
22.6,16.0798
22.65,16.1945
22.7,16.3092
22.75,16.4239
22.8,16.5386
22.85,16.6533
22.9,16.768
22.95,16.8827
23,16.9974
23.05,17.1121
23.1,17.2268
23.15,17.3601
23.2,17.5121
23.25,17.664
23.3,17.816
23.35,17.968
23.4,18.1199
23.45,18.2719
23.5,18.4239
23.55,18.5758
23.6,18.7278
23.65,18.8798
23.7,19.0317
