1.1671,-15.2984,-25.8649,-0.429737,-0.680213,0.274625,1.34586,0.822734,-1.61065,-2.20534,3.55882,-4.40061,
0.503464,-16.1426,-16.1131,-0.329628,-0.70326,0.220788,1.52273,1.26778,-0.712886,-2.18198,3.32859,-3.70325,
-0.183778,-16.5859,-5.92592,-0.223469,-0.711146,0.163279,1.66301,1.67752,0.188237,-2.10994,3.0238,-2.92087,
-0.878056,-16.6159,4.43698,-0.11424,-0.70348,0.103785,1.76253,2.04043,1.0684,-1.99101,2.65274,-2.07504,
-1.56254,-16.2309,14.7112,-0.00498334,-0.680257,0.0440272,1.81816,2.34625,1.90393,-1.82813,2.22531,-1.18889,
-2.22058,-15.4398,24.6344,0.101278,-0.641853,-0.0142798,1.82787,2.58617,2.6724,-1.62532,1.75279,-0.286496,
-2.83611,-14.2617,33.9533,0.201616,-0.589021,-0.0694765,1.79082,2.75316,3.35325,-1.38758,1.24756,0.607741,
-3.39405,-12.7257,42.4297,0.29328,-0.52287,-0.120001,1.70735,2.84207,3.92826,-1.12079,0.722738,1.46972,
-3.88072,-10.8701,49.8471,0.373762,-0.444841,-0.16443,1.57903,2.84981,4.38208,-0.831501,0.191875,2.2763,
-4.28418,-8.74133,56.0159,0.440866,-0.356671,-0.201516,1.40855,2.77546,4.70261,-0.526818,-0.331404,3.00584,
-4.5945,-6.3927,60.7784,0.492763,-0.260349,-0.23022,1.19973,2.62022,4.8813,-0.214202,-0.833749,3.63884,
-4.80403,-3.88325,64.0129,0.528043,-0.158065,-0.249742,0.957366,2.38747,4.91338,0.0987187,-1.30243,4.15837,
-4.90763,-1.27611,65.6367,0.545744,-0.0521598,-0.259534,0.687146,2.08263,4.798,0.404343,-1.72566,4.55058,
-4.90274,1.36312,65.6082,0.545388,0.0549355,-0.259325,0.395489,1.71305,4.53822,0.695286,-2.0929,4.805,
-4.7895,3.968,63.9283,0.526981,0.160761,-0.249119,0.0893922,1.28781,4.14096,0.964569,-2.39512,4.91485,
-4.57069,6.47295,60.6398,0.491023,0.262888,-0.2292,-0.22375,0.817502,3.61682,1.20579,-2.62504,4.8772,
-4.25173,8.81499,55.8268,0.43849,0.358982,-0.200123,-0.536329,0.313957,2.97976,1.41331,-2.7773,4.69305,
-3.84047,10.9353,49.6125,0.370809,0.446855,-0.162698,-0.84072,-0.21007,2.24681,1.58234,-2.84863,4.36729,
-3.34703,12.7806,42.1556,0.289823,0.524528,-0.117972,-1.12947,-0.741211,1.43756,1.70912,-2.83786,3.90861,
-2.78356,14.3049,33.6467,0.19774,0.590273,-0.0671993,-1.3955,-1.26584,0.573706,1.79098,-2.74601,3.32923,
-2.16388,15.4702,24.3033,0.0970781,0.642661,-0.0118095,-1.63225,-1.7704,-0.321553,1.8264,-2.57625,2.64462,
-1.50316,16.2477,14.3641,-0.00940314,0.680593,0.046631,-1.83389,-2.24181,-1.2241,1.81509,-2.33378,1.87308,
